"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Whole Blood (Peripheral Venous Blood) [µmol/l]"
4,570,0.5026663
4,585,0.4936888
4,600,0.4849103
4,615,0.4763245
4,630,0.4679257
4,645,0.4597084
4,660,0.4516675
4,675,0.4437982
4,690,0.436096
4,705,0.4285566
4,720,0.4211757
4,735,0.4139495
4,750,0.4068742
4,765,0.399946
4,780,0.3931615
4,795,0.3865173
4,810,0.38001
4,825,0.3736365
4,840,0.3673936
4,855,0.3612783
4,870,0.3552877
4,885,0.3494189
4,900,0.3436691
4,915,0.3380356
4,930,0.3325158
4,945,0.327107
4,960,0.3218068
4,975,0.3166126
4,990,0.311522
4,1005,0.3065328
4,1020,0.3016425
4,1035,0.296849
4,1050,0.2921501
4,1065,0.2875435
4,1080,0.2830273
4,1095,0.2785993
4,1110,0.2742576
4,1125,0.2700002
4,1140,0.2658251
4,1155,0.2617306
4,1170,0.2577148
4,1185,0.2537759
4,1200,0.2499121
4,1215,0.2461218
4,1230,0.2424033
4,1245,0.238755
4,1260,0.2351753
4,1275,0.2316625
4,1290,0.2282154
4,1305,0.2248322
4,1320,0.2215116
4,1335,0.2182523
4,1350,0.2150527
4,1365,0.2119116
4,1380,0.2088276
4,1395,0.2057995
4,1410,0.202826
4,1425,0.1999059
4,1440,0.197038
5,0,0
5,3,3.369929E-07
5,6,2.316227E-05
5,9,0.0003072323
5,12,0.001803717
5,15,0.006531292
5,18,0.01739
5,21,0.03756958
5,24,0.06988712
5,27,0.1162968
5,30,0.1776548
5,33,0.2537239
5,36,0.3433359
5,39,0.4446364
5,42,0.5553468
5,45,0.6729997
5,48,0.7951242
5,51,0.9193766
5,54,1.043622
5,57,1.165978
5,60,1.284832
5,63,1.398832
5,66,1.506871
5,69,1.608065
5,72,1.701729
5,75,1.787354
5,78,1.864587
5,81,1.933211
5,84,1.993133
5,87,2.044371
5,90,2.087044
5,93,2.121364
5,96,2.14763
5,99,2.166218
5,102,2.177574
5,105,2.182205
5,108,2.180667
5,111,2.173557
5,114,2.161493
5,117,2.145108
5,120,2.125035
5,135,1.989893
5,150,1.839092
5,165,1.705904
5,180,1.599533
5,195,1.517215
5,210,1.452838
5,225,1.400783
5,240,1.356939
5,255,1.318594
5,270,1.284043
5,285,1.252234
5,300,1.222508
5,315,1.194441
5,330,1.16775
5,345,1.142233
5,360,1.11774
5,375,1.094157
5,390,1.07139
5,405,1.049366
5,420,1.028021
5,435,1.007303
5,450,0.9871683
5,465,0.9675782
5,480,0.9485006
5,495,0.9299073
5,510,0.9117737
5,525,0.8940783
5,540,0.876802
5,555,0.859928
5,570,0.8434411
5,585,0.8273275
5,600,0.8115748
5,615,0.7961715
5,630,0.7811071
5,645,0.7663717
5,660,0.7519562
5,675,0.737852
5,690,0.7240509
5,705,0.7105452
5,720,0.6973274
5,735,0.6843907
5,750,0.6717281
5,765,0.6593331
5,780,0.6471996
5,795,0.6353213
5,810,0.6236923
5,825,0.6123071
5,840,0.60116
5,855,0.5902455
5,870,0.5795586
5,885,0.5690938
5,900,0.5588464
5,915,0.5488114
5,930,0.5389841
5,945,0.5293598
5,960,0.5199339
5,975,0.5107021
5,990,0.5016599
5,1005,0.4928032
5,1020,0.4841278
5,1035,0.4756296
5,1050,0.4673048
5,1065,0.4591493
5,1080,0.4511595
5,1095,0.4433316
5,1110,0.435662
5,1125,0.4281473
5,1140,0.4207838
5,1155,0.4135683
5,1170,0.4064975
5,1185,0.3995681
5,1200,0.3927769
5,1215,0.3861209
5,1230,0.379597
5,1245,0.3732024
5,1260,0.3669341
5,1275,0.3607894
5,1290,0.3547654
5,1305,0.3488594
5,1320,0.3430689
5,1335,0.3373913
5,1350,0.3318241
5,1365,0.3263648
5,1380,0.321011
5,1395,0.3157604
5,1410,0.3106107
5,1425,0.3055597
5,1440,0.3006052
6,0,0
6,3,1.347119E-06
6,6,6.014554E-05
6,9,0.0005127914
6,12,0.00238763
6,15,0.00771943
6,18,0.01942433
6,21,0.04080217
6,24,0.07492626
6,27,0.12414
6,30,0.1897622
6,33,0.2720117
6,36,0.3700977
6,39,0.4824154
6,42,0.6067838
6,45,0.7406844
6,48,0.8814675
6,51,1.026513
6,54,1.173344
6,57,1.319708
6,60,1.463611
6,63,1.603339
6,66,1.737447
6,69,1.864751
6,72,1.984304
6,75,2.095372
6,78,2.197412
6,81,2.290044
6,84,2.373037
6,87,2.446288
6,90,2.509808
6,93,2.563711
6,96,2.608203
6,99,2.643575
6,102,2.670195
6,105,2.688504
6,108,2.699003
6,111,2.702251
6,114,2.698852
6,117,2.689448
6,120,2.674703
6,135,2.544264
6,150,2.373337
6,165,2.211857
6,180,2.079693
6,195,1.977921
6,210,1.900364
6,225,1.839955
6,240,1.791032
6,255,1.749658
6,270,1.713283
6,285,1.680315
6,300,1.649767
6,315,1.621028
6,330,1.593705
6,345,1.567542
6,360,1.542359
6,375,1.51803
6,390,1.494457
6,405,1.471567
6,420,1.449297
6,435,1.4276
6,450,1.406433
6,465,1.385763
6,480,1.365559
6,495,1.345795
6,510,1.32645
6,525,1.307503
6,540,1.288938
6,555,1.270738
6,570,1.25289
6,585,1.235382
6,600,1.218201
6,615,1.201339
6,630,1.184785
6,645,1.16853
6,660,1.152566
6,675,1.136886
6,690,1.121482
6,705,1.106347
6,720,1.091475
6,735,1.07686
6,750,1.062496
6,765,1.048377
6,780,1.034497
6,795,1.020852
6,810,1.007437
6,825,0.9942456
6,840,0.981274
6,855,0.9685174
6,870,0.9559714
6,885,0.9436314
6,900,0.9314933
6,915,0.919553
6,930,0.9078063
6,945,0.8962492
6,960,0.8848779
6,975,0.8736887
6,990,0.8626778
6,1005,0.8518415
6,1020,0.8411764
6,1035,0.8306789
6,1050,0.8203459
6,1065,0.8101737
6,1080,0.8001594
6,1095,0.7902997
6,1110,0.7805914
6,1125,0.7710316
6,1140,0.7616173
6,1155,0.7523456
6,1170,0.7432135
6,1185,0.7342185
6,1200,0.7253578
6,1215,0.7166286
6,1230,0.7080283
6,1245,0.6995546
6,1260,0.6912047
6,1275,0.6829764
6,1290,0.6748672
6,1305,0.6668748
6,1320,0.6589969
6,1335,0.6512313
6,1350,0.6435759
6,1365,0.6360284
6,1380,0.6285869
6,1395,0.6212492
6,1410,0.6140134
6,1425,0.6068776
6,1440,0.5998398
7,0,0
7,3,8.678879E-07
7,6,3.659429E-05
7,9,0.0002568931
7,12,0.0009805645
7,15,0.002742623
7,18,0.006299344
7,21,0.0125694
7,24,0.02253064
7,27,0.03710874
7,30,0.05708672
7,33,0.08304653
7,36,0.1153424
7,39,0.1540993
7,42,0.1992276
7,45,0.2504497
7,48,0.307334
7,51,0.3693306
7,54,0.4358087
7,57,0.5060902
7,60,0.5794795
7,63,0.6552889
7,66,0.7328579
7,69,0.8115671
7,72,0.8908484
7,75,0.9701898
7,78,1.049138
7,81,1.127297
7,84,1.204327
7,87,1.27994
7,90,1.353896
7,93,1.425997
7,96,1.496083
7,99,1.564027
7,102,1.629731
7,105,1.693121
7,108,1.754144
7,111,1.812764
7,114,1.868958
7,117,1.922717
7,120,1.974039
7,135,2.194561
7,150,2.357253
7,165,2.466535
7,180,2.528099
7,195,2.549004
7,210,2.537563
7,225,2.502686
7,240,2.452852
7,255,2.395157
7,270,2.334808
7,285,2.275141
7,300,2.217977
7,315,2.164089
7,330,2.11362
7,345,2.066383
7,360,2.022054
7,375,1.980273
7,390,1.9407
7,405,1.903032
7,420,1.867015
7,435,1.832433
7,450,1.799112
7,465,1.766908
7,480,1.735702
7,495,1.705397
7,510,1.675914
7,525,1.647187
7,540,1.619161
7,555,1.59179
7,570,1.565035
7,585,1.538863
7,600,1.513244
7,615,1.488155
7,630,1.463572
7,645,1.439478
7,660,1.415854
7,675,1.392686
7,690,1.369959
7,705,1.347659
7,720,1.325776
7,735,1.304298
7,750,1.283215
7,765,1.262518
7,780,1.242196
7,795,1.222242
7,810,1.202647
7,825,1.183403
7,840,1.164503
7,855,1.14594
7,870,1.127706
7,885,1.109795
7,900,1.0922
7,915,1.074915
7,930,1.057934
7,945,1.04125
7,960,1.024859
7,975,1.008754
7,990,0.9929291
7,1005,0.9773799
7,1020,0.9621007
7,1035,0.9470863
7,1050,0.9323318
7,1065,0.9178321
7,1080,0.9035825
7,1095,0.8895781
7,1110,0.8758144
7,1125,0.8622868
7,1140,0.8489909
7,1155,0.8359222
7,1170,0.8230767
7,1185,0.8104499
7,1200,0.7980379
7,1215,0.7858366
7,1230,0.7738422
7,1245,0.7620506
7,1260,0.7504582
7,1275,0.7390612
7,1290,0.727856
7,1305,0.716839
7,1320,0.7060066
7,1335,0.6953557
7,1350,0.6848825
7,1365,0.674584
7,1380,0.6644569
7,1395,0.654498
7,1410,0.6447042
7,1425,0.6350724
7,1440,0.6255997
8,0,0
8,3,4.586138E-08
8,6,3.300166E-06
8,9,4.45506E-05
8,12,0.0002808311
8,15,0.001108759
8,18,0.003227224
8,21,0.007611849
8,24,0.0154166
8,27,0.02783861
8,30,0.04598333
8,33,0.07075465
8,36,0.1027831
8,39,0.1423947
8,42,0.189613
8,45,0.2441875
8,48,0.3056381
8,51,0.3733072
8,54,0.4464132
8,57,0.5241
8,60,0.6054797
8,63,0.6896676
8,66,0.775809
8,69,0.8630987
8,72,0.950793
8,75,1.038217
8,78,1.124766
8,81,1.209908
8,84,1.293179
8,87,1.374177
8,90,1.452561
8,93,1.528042
8,96,1.60038
8,99,1.669376
8,102,1.734873
8,105,1.796743
8,108,1.854892
8,111,1.909252
8,114,1.959779
8,117,2.006451
8,120,2.049269
8,135,2.206778
8,150,2.277612
8,165,2.278537
8,180,2.230953
8,195,2.15599
8,210,2.070425
8,225,1.985106
8,240,1.90564
8,255,1.834044
8,270,1.770334
8,285,1.713629
8,300,1.662785
8,315,1.6167
8,330,1.574431
8,345,1.535222
8,360,1.498487
8,375,1.463776
8,390,1.43075
8,405,1.399151
8,420,1.368785
8,435,1.3395
8,450,1.311179
8,465,1.283731
8,480,1.257081
8,495,1.231169
8,510,1.205946
8,525,1.181371
8,540,1.157408
8,555,1.134027
8,570,1.111202
8,585,1.088909
8,600,1.067128
8,615,1.045841
8,630,1.02503
8,645,1.004681
8,660,0.9847794
8,675,0.965312
8,690,0.9462668
8,705,0.9276325
8,720,0.9093983
8,735,0.8915539
8,750,0.8740898
8,765,0.8569967
8,780,0.8402657
8,795,0.8238884
8,810,0.8078564
8,825,0.792162
8,840,0.7767974
8,855,0.7617553
8,870,0.7470284
8,885,0.7326096
8,900,0.7184923
8,915,0.7046698
8,930,0.6911355
8,945,0.6778832
8,960,0.6649067
8,975,0.6522
8,990,0.6397573
8,1005,0.6275728
8,1020,0.6156408
8,1035,0.603956
8,1050,0.5925129
8,1065,0.5813064
8,1080,0.5703312
8,1095,0.5595825
8,1110,0.5490552
8,1125,0.5387446
8,1140,0.528646
8,1155,0.5187548
8,1170,0.5090665
8,1185,0.4995768
8,1200,0.4902813
8,1215,0.4811758
8,1230,0.4722563
8,1245,0.4635186
8,1260,0.4549589
8,1275,0.4465733
8,1290,0.4383581
8,1305,0.4303095
8,1320,0.422424
8,1335,0.4146981
8,1350,0.4071282
8,1365,0.399711
8,1380,0.3924432
8,1395,0.3853217
8,1410,0.3783432
8,1425,0.3715046
8,1440,0.3648029
9,0,0
9,3,6.609648E-07
9,6,2.480217E-05
9,9,0.0001768091
9,12,0.0007244261
9,15,0.002193879
9,18,0.005404946
9,21,0.01142287
9,24,0.02144738
9,27,0.03667416
9,30,0.05816156
9,33,0.08672553
9,36,0.1228753
9,39,0.1667899
9,42,0.2183303
9,45,0.2770787
9,48,0.3423927
9,51,0.4134677
9,54,0.4893968
9,57,0.5692253
9,60,0.651997
9,63,0.7367895
9,66,0.8227391
9,69,0.9090573
9,72,0.9950402
9,75,1.080071
9,78,1.16362
9,81,1.245237
9,84,1.324549
