"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Whole Blood (Peripheral Venous Blood) [µmol/l]"
3,435,2.64326
3,450,2.570262
3,465,2.499811
3,480,2.431853
3,495,2.366304
3,510,2.303063
3,525,2.242022
3,540,2.183071
3,555,2.1261
3,570,2.071005
3,585,2.017688
3,600,1.966056
3,615,1.916023
3,630,1.867511
3,645,1.820446
3,660,1.774762
3,675,1.730396
3,690,1.687293
3,705,1.6454
3,720,1.60467
3,735,1.565058
3,750,1.526524
3,765,1.489028
3,780,1.452535
3,795,1.417013
3,810,1.382428
3,825,1.348753
3,840,1.315958
3,855,1.284017
3,870,1.252905
3,885,1.222599
3,900,1.193074
3,915,1.164308
3,930,1.136281
3,945,1.108972
3,960,1.082361
3,975,1.05643
3,990,1.031159
3,1005,1.006532
3,1020,0.9825307
3,1035,0.9591387
3,1050,0.93634
3,1065,0.9141188
3,1080,0.8924598
3,1095,0.8713484
3,1110,0.8507702
3,1125,0.8307112
3,1140,0.8111579
3,1155,0.7920969
3,1170,0.7735156
3,1185,0.7554013
3,1200,0.737742
3,1215,0.7205257
3,1230,0.7037411
3,1245,0.6873768
3,1260,0.6714219
3,1275,0.6558659
3,1290,0.6406984
3,1305,0.6259092
3,1320,0.6114886
3,1335,0.597427
3,1350,0.5837152
3,1365,0.570344
3,1380,0.5573047
3,1395,0.5445886
3,1410,0.5321874
3,1425,0.520093
3,1440,0.5082973
4,0,0
4,3,4.867857E-07
4,6,2.287252E-05
4,9,0.0002001431
4,12,0.0009623202
4,15,0.003224687
4,18,0.00840998
4,21,0.01828127
4,24,0.03466875
4,27,0.05919321
4,30,0.09305505
4,33,0.1369198
4,36,0.1908948
4,39,0.2545769
4,42,0.3271429
4,45,0.4074618
4,48,0.494209
4,51,0.585965
4,54,0.6812987
4,57,0.7788292
4,60,0.87727
4,63,0.9754546
4,66,1.07235
4,69,1.16706
4,72,1.258821
4,75,1.346996
4,78,1.431059
4,81,1.51059
4,84,1.585258
4,87,1.654809
4,90,1.719062
4,93,1.777895
4,96,1.831238
4,99,1.879067
4,102,1.921402
4,105,1.958297
4,108,1.989842
4,111,2.016159
4,114,2.037399
4,117,2.053741
4,120,2.065392
4,135,2.062043
4,150,1.983223
4,165,1.867261
4,180,1.744752
4,195,1.633157
4,210,1.538598
4,225,1.460611
4,240,1.396161
4,255,1.341884
4,270,1.294968
4,285,1.253335
4,300,1.215544
4,315,1.180622
4,330,1.147923
4,345,1.117013
4,360,1.087597
4,375,1.059466
4,390,1.03247
4,405,1.006496
4,420,0.9814535
4,435,0.9572721
4,450,0.9338925
4,465,0.9112646
4,480,0.8893453
4,495,0.8680971
4,510,0.8474869
4,525,0.827485
4,540,0.8080648
4,555,0.7892022
4,570,0.7708749
4,585,0.7530627
4,600,0.7357468
4,615,0.7189096
4,630,0.7025347
4,645,0.6866068
4,660,0.6711113
4,675,0.6560344
4,690,0.6413631
4,705,0.6270849
4,720,0.6131878
4,735,0.5996605
4,750,0.5864919
4,765,0.5736717
4,780,0.5611896
4,795,0.5490358
4,810,0.537201
4,825,0.525676
4,840,0.5144518
4,855,0.5035201
4,870,0.4928725
4,885,0.482501
4,900,0.4723977
4,915,0.4625553
4,930,0.4529662
4,945,0.4436234
4,960,0.4345199
4,975,0.4256491
4,990,0.4170045
4,1005,0.4085796
4,1020,0.4003683
4,1035,0.3923647
4,1050,0.3845629
4,1065,0.3769573
4,1080,0.3695423
4,1095,0.3623126
4,1110,0.3552631
4,1125,0.3483886
4,1140,0.3416843
4,1155,0.3351454
4,1170,0.3287672
4,1185,0.3225452
4,1200,0.3164752
4,1215,0.3105527
4,1230,0.3047737
4,1245,0.2991342
4,1260,0.2936302
4,1275,0.2882579
4,1290,0.2830137
4,1305,0.2778939
4,1320,0.2728951
4,1335,0.268014
4,1350,0.2632471
4,1365,0.2585913
4,1380,0.2540436
4,1395,0.2496008
4,1410,0.2452602
4,1425,0.2410187
4,1440,0.2368737
5,0,0
5,3,3.525035E-07
5,6,1.592094E-05
5,9,0.0001110963
5,12,0.0003993574
5,15,0.001031017
5,18,0.002187145
5,21,0.004074878
5,24,0.006921538
5,27,0.01096726
5,30,0.01645669
5,33,0.02363059
5,36,0.032718
5,39,0.0439295
5,42,0.05745154
5,45,0.07344233
5,48,0.09202894
5,51,0.1133056
5,54,0.1373332
5,57,0.1641397
5,60,0.1937217
5,63,0.2260458
5,66,0.2610519
5,69,0.2986552
5,72,0.3387499
5,75,0.3812124
5,78,0.425904
5,81,0.4726746
5,84,0.5213655
5,87,0.5718118
5,90,0.6238453
5,93,0.6772968
5,96,0.7319974
5,99,0.7877811
5,102,0.8444852
5,105,0.9019523
5,108,0.9600306
5,111,1.018575
5,114,1.077447
5,117,1.136515
5,120,1.195656
5,135,1.488647
5,150,1.76905
5,165,2.028869
5,180,2.263046
5,195,2.468617
5,210,2.644112
5,225,2.789166
5,240,2.904285
5,255,2.9907
5,270,3.050241
5,285,3.085232
5,300,3.098345
5,315,3.092455
5,330,3.070487
5,345,3.035271
5,360,2.989436
5,375,2.93533
5,390,2.874989
5,405,2.810129
5,420,2.74217
5,435,2.672258
5,450,2.601314
5,465,2.530059
5,480,2.459059
5,495,2.388747
5,510,2.319453
5,525,2.251422
5,540,2.184833
5,555,2.119813
5,570,2.056445
5,585,1.994781
5,600,1.934846
5,615,1.876647
5,630,1.820173
5,645,1.765405
5,660,1.712313
5,675,1.660862
5,690,1.611012
5,705,1.562721
5,720,1.515944
5,735,1.470636
5,750,1.426753
5,765,1.384248
5,780,1.343078
5,795,1.3032
5,810,1.264569
5,825,1.227146
5,840,1.190891
5,855,1.155764
5,870,1.121729
5,885,1.088749
5,900,1.05679
5,915,1.025819
5,930,0.9958021
5,945,0.9667096
5,960,0.9385113
5,975,0.9111782
5,990,0.8846827
5,1005,0.8589978
5,1020,0.8340979
5,1035,0.8099579
5,1050,0.7865539
5,1065,0.7638624
5,1080,0.7418612
5,1095,0.7205285
5,1110,0.6998433
5,1125,0.6797855
5,1140,0.6603355
5,1155,0.6414744
5,1170,0.6231837
5,1185,0.6054457
5,1200,0.5882434
5,1215,0.5715602
5,1230,0.5553799
5,1245,0.539687
5,1260,0.5244664
5,1275,0.5097036
5,1290,0.4953844
5,1305,0.4814951
5,1320,0.4680226
5,1335,0.4549538
5,1350,0.4422765
5,1365,0.4299785
5,1380,0.4180482
5,1395,0.4064742
5,1410,0.3952456
5,1425,0.3843518
5,1440,0.3737825
6,0,0
6,3,4.098702E-07
6,6,6.490901E-05
6,9,0.001046766
6,12,0.006079684
6,15,0.02062635
6,18,0.05075047
6,21,0.1012795
6,24,0.1747737
6,27,0.2713134
6,30,0.3888438
6,33,0.5237806
6,36,0.6716639
6,39,0.8277265
6,42,0.987317
6,45,1.14617
6,48,1.300541
6,51,1.447276
6,54,1.583802
6,57,1.708095
6,60,1.818644
6,63,1.914397
6,66,1.994735
6,69,2.05943
6,72,2.108634
6,75,2.142841
6,78,2.162871
6,81,2.16982
6,84,2.165023
6,87,2.149986
6,90,2.126321
6,93,2.095674
6,96,2.059658
6,99,2.019793
6,102,1.97746
6,105,1.933869
6,108,1.890044
6,111,1.846818
6,114,1.804845
6,117,1.764608
6,120,1.726445
6,135,1.571007
6,150,1.469188
6,165,1.403898
6,180,1.359843
6,195,1.327353
6,210,1.301118
6,225,1.278399
6,240,1.257819
6,255,1.238673
6,270,1.220583
6,285,1.203331
6,300,1.186776
6,315,1.17082
6,330,1.155391
6,345,1.140428
6,360,1.125885
6,375,1.111722
6,390,1.097906
6,405,1.084407
6,420,1.071203
6,435,1.058273
6,450,1.045599
6,465,1.033166
6,480,1.020961
6,495,1.008972
6,510,0.9971899
6,525,0.9856052
6,540,0.9742103
6,555,0.9629983
6,570,0.951963
6,585,0.9410989
6,600,0.930401
6,615,0.9198645
6,630,0.9094855
6,645,0.8992597
6,660,0.8891839
6,675,0.8792543
6,690,0.869468
6,705,0.8598219
6,720,0.8503131
6,735,0.8409389
6,750,0.8316966
6,765,0.8225837
6,780,0.8135979
6,795,0.8047367
6,810,0.7959979
6,825,0.7873792
6,840,0.7788786
6,855,0.7704938
6,870,0.7622229
6,885,0.7540638
6,900,0.7460147
6,915,0.7380735
6,930,0.7302383
6,945,0.7225075
6,960,0.714879
6,975,0.7073512
6,990,0.6999223
6,1005,0.6925906
6,1020,0.6853545
6,1035,0.6782122
6,1050,0.6711621
6,1065,0.6642028
6,1080,0.6573326
6,1095,0.6505499
6,1110,0.6438534
6,1125,0.6372415
6,1140,0.6307127
6,1155,0.6242657
6,1170,0.617899
6,1185,0.6116113
6,1200,0.6054012
6,1215,0.5992675
6,1230,0.5932087
6,1245,0.5872238
6,1260,0.5813113
6,1275,0.5754701
6,1290,0.569699
6,1305,0.5639969
6,1320,0.5583625
6,1335,0.5527947
6,1350,0.5472924
6,1365,0.5418546
6,1380,0.5364801
6,1395,0.531168
6,1410,0.5259172
6,1425,0.5207267
6,1440,0.5155956
7,0,0
7,3,4.144957E-07
7,6,1.890811E-05
7,9,0.0001456821
7,12,0.0006230322
7,15,0.001945591
7,18,0.004913453
7,21,0.01060439
7,24,0.02027621
7,27,0.03523046
7,30,0.05667077
7,33,0.08558216
7,36,0.1226481
7,39,0.168209
7,42,0.2222605
7,45,0.2844819
7,48,0.3542872
7,51,0.4308853
7,54,0.5133443
7,57,0.6006513
7,60,0.691765
7,63,0.7856582
7,66,0.8813502
7,69,0.9779287
7,72,1.074565
7,75,1.170519
7,78,1.265144
7,81,1.357883
7,84,1.448261
7,87,1.535884
7,90,1.620424
7,93,1.701619
7,96,1.779258
7,99,1.853179
7,102,1.923259
7,105,1.98941
7,108,2.051574
7,111,2.109715
7,114,2.163822
7,117,2.2139
7,120,2.259968
7,135,2.431806
7,150,2.513367
7,165,2.519195
7,180,2.468448
7,195,2.382012
7,210,2.278609
