"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Acebutolol|Plasma (Peripheral Venous Blood) [µmol/l]"
10,18,0.04987818
10,21,0.08866319
10,24,0.1343598
10,27,0.1830301
10,30,0.2321459
10,33,0.280367
10,36,0.3269983
10,39,0.3716043
10,42,0.4138325
10,45,0.4533675
10,48,0.4899395
10,51,0.5233498
10,54,0.5534921
10,57,0.5803441
10,60,0.6039729
10,63,0.6245179
10,66,0.6421721
10,69,0.6571721
10,72,0.6697707
10,75,0.6802351
10,78,0.6888246
10,81,0.6957925
10,84,0.7013728
10,87,0.7057806
10,90,0.7092103
10,93,0.7118341
10,96,0.7138023
10,99,0.7152454
10,102,0.716275
10,105,0.7169861
10,108,0.7174582
10,111,0.7177576
10,114,0.7179387
10,117,0.7180458
10,120,0.7181146
10,135,0.7186742
10,150,0.7204972
10,165,0.72367
10,180,0.7276645
10,195,0.7317433
10,210,0.7349955
10,225,0.736068
10,240,0.7322189
10,255,0.7156464
10,270,0.6604885
10,285,0.5673368
10,300,0.5115947
10,315,0.4779662
10,330,0.4510857
10,345,0.427324
10,360,0.4056719
10,375,0.3857045
10,390,0.3671744
10,405,0.3499104
10,420,0.3337825
10,435,0.3186865
10,450,0.3045357
10,465,0.2912567
10,480,0.2787853
10,495,0.2670643
10,510,0.2560422
10,525,0.2456726
10,540,0.2359128
10,555,0.2267235
10,570,0.2180684
10,585,0.2099137
10,600,0.202228
10,615,0.194982
10,630,0.1881481
10,645,0.1817008
10,660,0.175616
10,675,0.1698712
10,690,0.1644451
10,705,0.159318
10,720,0.1544713
10,735,0.1498874
