"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Gabapentin|Plasma (Peripheral Venous Blood) [µmol/l]"
0,12840,23.58426
0,12855,23.56849
0,12870,23.55273
0,12885,23.53699
0,12900,23.52125
0,12915,23.50552
0,12930,23.48981
0,12945,23.4741
0,12960,23.4584
0,12975,23.44272
0,12990,23.42704
0,13005,23.41138
0,13020,23.39573
0,13035,23.38008
0,13050,23.36445
0,13065,23.34883
0,13080,23.33322
0,13095,23.31762
0,13110,23.30202
0,13125,23.28644
0,13140,23.27087
0,13155,23.25531
0,13170,23.23977
0,13185,23.22423
0,13200,23.2087
0,13215,23.19318
0,13230,23.17767
0,13245,23.16218
0,13260,23.14669
0,13275,23.13121
0,13290,23.11575
0,13305,23.10029
0,13320,23.08484
0,13335,23.06941
0,13350,23.05399
0,13365,23.03857
0,13380,23.02317
0,13395,23.00777
0,13410,22.99239
0,13425,22.97702
0,13440,22.96165
0,13455,22.9463
0,13470,22.93096
0,13485,22.91563
0,13500,22.9003
0,13515,22.88499
0,13530,22.86969
0,13545,22.8544
0,13560,22.83912
0,13575,22.82385
0,13590,22.80859
0,13605,22.79334
0,13620,22.7781
0,13635,22.76287
0,13650,22.74765
0,13665,22.73244
0,13680,22.71724
0,13695,22.70205
0,13710,22.68687
0,13725,22.67171
0,13740,22.65655
0,13755,22.6414
0,13770,22.62626
0,13785,22.61113
0,13800,22.59601
0,13815,22.58091
0,13830,22.56581
0,13845,22.55072
0,13860,22.53564
0,13875,22.52057
0,13890,22.50552
0,13905,22.49047
0,13920,22.47543
0,13935,22.46041
0,13950,22.44539
0,13965,22.43038
0,13980,22.41538
0,13995,22.4004
0,14010,22.38542
0,14025,22.37045
0,14040,22.3555
0,14055,22.34055
0,14070,22.32561
0,14085,22.31069
0,14100,22.29577
0,14115,22.28086
0,14130,22.26596
0,14145,22.25108
0,14160,22.2362
0,14175,22.22133
0,14190,22.20648
0,14205,22.19163
0,14220,22.17679
0,14235,22.16196
0,14250,22.14715
0,14265,22.13234
0,14280,22.11754
0,14295,22.10275
0,14310,22.08798
0,14325,22.07321
0,14340,22.05845
0,14355,22.0437
0,14370,22.02896
0,14385,22.01423
0,14400,21.99952
0,14415,21.98481
0,14430,21.97011
0,14445,21.95542
0,14460,21.94074
0,14475,21.92607
0,14490,21.91141
0,14505,21.89676
0,14520,21.88212
0,14535,21.86749
0,14550,21.85287
0,14565,21.83826
0,14580,21.82366
0,14595,21.80907
0,14610,21.79449
0,14625,21.77991
0,14640,21.76535
0,14655,21.7508
0,14670,21.73626
0,14685,21.72173
0,14700,21.7072
0,14715,21.69269
0,14730,21.67819
0,14745,21.66369
0,14760,21.64921
0,14775,21.63473
0,14790,21.62027
0,14805,21.60581
0,14820,21.59137
0,14835,21.57693
0,14850,21.56251
0,14865,21.54809
0,14880,21.53368
0,14895,21.51929
0,14910,21.5049
0,14925,21.49052
0,14940,21.47615
0,14955,21.46179
0,14970,21.44744
0,14985,21.43311
0,15000,21.41878
0,15015,21.40446
0,15030,21.39014
0,15045,21.37584
0,15060,21.36155
0,15075,21.34727
0,15090,21.333
0,15105,21.31874
0,15120,21.30448
0,15135,21.29024
0,15150,21.276
0,15165,21.26178
0,15180,21.24756
0,15195,21.23336
0,15210,21.21916
0,15225,21.20498
0,15240,21.1908
0,15255,21.17663
0,15270,21.16247
0,15285,21.14832
0,15300,21.13418
0,15315,21.12005
0,15330,21.10593
0,15345,21.09182
0,15360,21.07772
0,15375,21.06363
0,15390,21.04955
0,15405,21.03547
0,15420,21.02141
0,15435,21.00735
0,15450,20.99331
0,15465,20.97927
0,15480,20.96525
0,15495,20.95123
0,15510,20.93722
0,15525,20.92323
0,15540,20.90924
0,15555,20.89526
0,15570,20.88129
0,15585,20.86732
0,15600,20.85337
0,15615,20.83943
0,15630,20.8255
0,15645,20.81158
0,15660,20.79766
0,15675,20.78376
0,15690,20.76986
0,15705,20.75598
0,15720,20.7421
0,15735,20.72823
0,15750,20.71437
0,15765,20.70052
0,15780,20.68668
0,15795,20.67285
0,15810,20.65903
0,15825,20.64522
0,15840,20.63142
0,15855,20.61762
0,15870,20.60384
0,15885,20.59006
0,15900,20.5763
1,0,0
1,3,0.0006618128
1,6,0.01495707
1,9,0.06819473
1,12,0.1780014
1,15,0.3524361
1,18,0.5926174
1,21,0.8951786
1,24,1.254161
1,27,1.662322
