"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Plasma (Peripheral Venous Blood) [µmol/l]"
3,975,0.1589792
3,990,0.1540678
3,1005,0.1493476
3,1020,0.1448107
3,1035,0.1404497
3,1050,0.1362574
3,1065,0.1322268
3,1080,0.1283513
3,1095,0.1246246
3,1110,0.1210405
3,1125,0.1175932
3,1140,0.1142771
3,1155,0.1110868
3,1170,0.108017
3,1185,0.105063
3,1200,0.1022198
3,1215,0.09948299
3,1230,0.09684811
3,1245,0.09431098
3,1260,0.09186757
3,1275,0.08951403
3,1290,0.08724665
3,1305,0.08506187
3,1320,0.08295628
3,1335,0.08092663
3,1350,0.07896976
3,1365,0.07708269
3,1380,0.07526253
3,1395,0.07350651
3,1410,0.071812
3,1425,0.07017644
3,1440,0.06859742
4,0,0
4,3,6.83039E-08
4,6,3.771582E-06
4,9,3.515435E-05
4,12,0.0001745812
4,15,0.0006087216
4,18,0.001666035
4,21,0.003816574
4,24,0.007636891
4,27,0.0137531
4,30,0.02277804
4,33,0.03525493
4,36,0.05161376
4,39,0.07214384
4,42,0.0969821
4,45,0.1261136
4,48,0.1593825
4,51,0.1965098
4,54,0.2371157
4,57,0.2807427
4,60,0.3268797
4,63,0.3749838
4,66,0.4245
4,69,0.4748782
4,72,0.5255867
4,75,0.5761231
4,78,0.6260223
4,81,0.674862
4,84,0.7222656
4,87,0.7679046
4,90,0.8114981
4,93,0.8528123
4,96,0.8916585
4,99,0.9278909
4,102,0.961404
4,105,0.9921294
4,108,1.020032
4,111,1.04511
4,114,1.067385
4,117,1.086906
4,120,1.103743
4,135,1.151228
4,150,1.149451
4,165,1.115834
4,180,1.065575
4,195,1.009591
4,210,0.9544625
4,225,0.903443
4,240,0.8576347
4,255,0.8169754
4,270,0.7808837
4,285,0.7486323
4,300,0.7195265
4,315,0.6929754
4,330,0.6685044
4,345,0.6457444
4,360,0.624413
4,375,0.6042944
4,390,0.5852235
4,405,0.5670726
4,420,0.5497414
4,435,0.5331503
4,450,0.5172344
4,465,0.5019405
4,480,0.4872239
4,495,0.4730466
4,510,0.4593758
4,525,0.4461828
4,540,0.4334424
4,555,0.4211319
4,570,0.4092311
4,585,0.3977215
4,600,0.3865862
4,615,0.3758099
4,630,0.365378
4,645,0.3552774
4,660,0.3454954
4,675,0.3360204
4,690,0.3268414
4,705,0.3179478
4,720,0.3093298
4,735,0.3009779
4,750,0.2928832
4,765,0.2850371
4,780,0.2774312
4,795,0.2700579
4,810,0.2629093
4,825,0.2559783
4,840,0.2492578
4,855,0.2427411
4,870,0.2364216
4,885,0.2302931
4,900,0.2243494
4,915,0.2185847
4,930,0.2129934
4,945,0.2075698
4,960,0.2023088
4,975,0.1972052
4,990,0.192254
4,1005,0.1874505
4,1020,0.1827898
4,1035,0.1782677
4,1050,0.1738795
4,1065,0.1696213
4,1080,0.1654888
4,1095,0.1614781
4,1110,0.1575854
4,1125,0.1538069
4,1140,0.1501391
4,1155,0.1465784
4,1170,0.1431215
4,1185,0.1397651
4,1200,0.136506
4,1215,0.1333412
4,1230,0.1302677
4,1245,0.1272826
4,1260,0.1243831
4,1275,0.1215666
4,1290,0.1188303
4,1305,0.1161719
4,1320,0.1135887
4,1335,0.1110785
4,1350,0.108639
4,1365,0.1062679
4,1380,0.103963
4,1395,0.1017223
4,1410,0.0995438
4,1425,0.09742548
4,1440,0.09536546
5,0,0
5,3,5.253487E-08
5,6,8.078537E-06
5,9,0.0001490527
5,12,0.00100733
5,15,0.003927215
5,18,0.0109219
5,21,0.02426665
5,24,0.04603753
5,27,0.07776388
5,30,0.1202368
5,33,0.1734614
5,36,0.236713
5,39,0.3086618
5,42,0.3875341
5,45,0.471282
5,48,0.5577449
5,51,0.6447823
5,54,0.7303798
5,57,0.8127244
5,60,0.8902557
5,63,0.9616905
5,66,1.026032
5,69,1.082566
5,72,1.130847
5,75,1.170679
5,78,1.202087
5,81,1.225297
5,84,1.240699
5,87,1.248819
5,90,1.250288
5,93,1.245812
5,96,1.23614
5,99,1.222039
5,102,1.204267
5,105,1.183555
5,108,1.160589
5,111,1.135998
5,114,1.110346
5,117,1.084126
5,120,1.05776
5,135,0.933854
5,150,0.8353879
5,165,0.7633666
5,180,0.7111495
5,195,0.671856
5,210,0.6405171
5,225,0.614042
5,240,0.5906472
5,255,0.5693355
5,270,0.5495481
5,285,0.530961
5,300,0.5133742
5,315,0.4966544
5,330,0.4807054
5,345,0.4654533
5,360,0.4508386
5,375,0.4368118
5,390,0.4233309
5,405,0.4103595
5,420,0.3978661
5,435,0.385823
5,450,0.3742055
5,465,0.3629917
5,480,0.3521619
5,495,0.3416982
5,510,0.3315844
5,525,0.3218055
5,540,0.3123478
5,555,0.3031985
5,570,0.2943457
5,585,0.2857783
5,600,0.277486
5,615,0.2694587
5,630,0.2616871
5,645,0.2541624
5,660,0.2468762
5,675,0.2398203
5,690,0.232987
5,705,0.2263689
5,720,0.2199589
5,735,0.2137502
5,750,0.2077362
5,765,0.2019106
5,780,0.1962673
5,795,0.1908004
5,810,0.1855041
5,825,0.1803731
5,840,0.175402
5,855,0.1705856
5,870,0.1659191
5,885,0.1613975
5,900,0.1570163
5,915,0.152771
5,930,0.1486572
5,945,0.1446707
5,960,0.1408074
5,975,0.1370634
5,990,0.1334349
5,1005,0.1299181
5,1020,0.1265095
5,1035,0.1232056
5,1050,0.120003
5,1065,0.1168986
5,1080,0.1138891
5,1095,0.1109715
5,1110,0.1081428
5,1125,0.1054002
5,1140,0.102741
5,1155,0.1001624
5,1170,0.09766178
5,1185,0.09523674
5,1200,0.09288479
5,1215,0.0906036
5,1230,0.08839086
5,1245,0.08624439
5,1260,0.08416204
5,1275,0.08214174
5,1290,0.0801815
5,1305,0.07827937
5,1320,0.07643349
5,1335,0.07464202
5,1350,0.07290324
5,1365,0.07121543
5,1380,0.06957693
5,1395,0.06798618
5,1410,0.06644163
5,1425,0.06494177
5,1440,0.06348518
6,0,0
6,3,7.564394E-07
6,6,3.658614E-05
6,9,0.0003201374
6,12,0.00148437
6,15,0.004772607
6,18,0.01196905
6,21,0.02508835
6,24,0.04599524
6,27,0.07610205
6,30,0.1161997
6,33,0.1664156
6,36,0.2262653
6,39,0.2947569
6,42,0.3705246
6,45,0.451967
6,48,0.537374
6,51,0.6250356
6,54,0.7133253
6,57,0.800757
6,60,0.8860219
6,63,0.9680064
6,66,1.045795
6,69,1.118663
6,72,1.186067
6,75,1.247622
6,78,1.303092
6,81,1.352364
6,84,1.395434
6,87,1.432393
6,90,1.463407
6,93,1.48871
6,96,1.508586
6,99,1.523362
6,102,1.533398
6,105,1.539074
6,108,1.540787
6,111,1.538941
6,114,1.533937
6,117,1.526171
6,120,1.516028
6,135,1.441712
6,150,1.352632
6,165,1.269192
6,180,1.19891
6,195,1.142132
6,210,1.096428
6,225,1.058942
6,240,1.02729
6,255,0.9997353
6,270,0.9750934
6,285,0.9525806
6,300,0.931681
6,315,0.9120506
6,330,0.893454
6,345,0.8757245
6,360,0.85874
6,375,0.8424077
6,390,0.8266547
6,405,0.8114228
6,420,0.7966644
6,435,0.7823397
6,450,0.7684157
6,465,0.7548642
6,480,0.7416613
6,495,0.7287862
6,510,0.716221
6,525,0.7039502
6,540,0.69196
6,555,0.6802383
6,570,0.6687742
6,585,0.6575581
6,600,0.6465812
6,615,0.6358354
6,630,0.6253135
6,645,0.6150085
6,660,0.6049144
6,675,0.5950252
6,690,0.5853353
6,705,0.5758395
6,720,0.566533
6,735,0.557411
6,750,0.5484689
6,765,0.5397025
6,780,0.5311076
6,795,0.5226802
6,810,0.5144163
6,825,0.5063123
6,840,0.4983645
6,855,0.4905694
6,870,0.4829235
6,885,0.4754236
6,900,0.4680662
6,915,0.4608483
6,930,0.4537668
6,945,0.4468186
6,960,0.4400008
6,975,0.4333105
6,990,0.4267449
6,1005,0.4203013
6,1020,0.4139769
6,1035,0.4077692
6,1050,0.4016756
6,1065,0.3956936
6,1080,0.3898207
6,1095,0.3840546
6,1110,0.3783929
6,1125,0.3728333
6,1140,0.3673736
6,1155,0.3620117
6,1170,0.3567454
6,1185,0.3515725
6,1200,0.3464912
6,1215,0.3414993
6,1230,0.336595
6,1245,0.3317764
6,1260,0.3270415
6,1275,0.3223887
6,1290,0.3178161
6,1305,0.313322
6,1320,0.3089046
6,1335,0.3045625
6,1350,0.3002939
6,1365,0.2960973
6,1380,0.2919712
6,1395,0.287914
6,1410,0.2839243
6,1425,0.2800006
6,1440,0.2761416
7,0,0
7,3,3.11015E-07
7,6,2.055045E-05
7,9,0.000245156
7,12,0.001354797
7,15,0.004709022
7,18,0.01211923
7,21,0.0254107
7,24,0.04604291
7,27,0.07489195
7,30,0.1121814
7,33,0.1575207
7,36,0.2100098
7,39,0.2683716
7,42,0.331094
7,45,0.3965605
7,48,0.4631615
7,51,0.5293798
7,54,0.5938528
7,57,0.6554098
7,60,0.7130927
7,63,0.7661605
7,66,0.8140814
7,69,0.8565185
7,72,0.8933113
7,75,0.9244534
7,78,0.9500687
7,81,0.9703868
7,84,0.9857211
7,87,0.9964458
7,90,1.002977
7,93,1.005754
7,96,1.005224
7,99,1.001831
7,102,0.9960018
7,105,0.9881415
7,108,0.9786255
7,111,0.9677967
7,114,0.9559626
7,117,0.9433957
7,120,0.9303329
