"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Acebutolol|Plasma (Peripheral Venous Blood) [µmol/l]"
59,18,0.02279877
59,21,0.03928192
59,24,0.06144302
59,27,0.08939296
59,30,0.1229596
59,33,0.1617464
59,36,0.2051938
59,39,0.2526357
59,42,0.3033481
59,45,0.3565861
59,48,0.4116147
59,51,0.4677303
59,54,0.5242763
59,57,0.5806535
59,60,0.636327
59,63,0.6908285
59,66,0.7437557
59,69,0.7947708
59,72,0.8435977
59,75,0.8900188
59,78,0.9338701
59,81,0.9750358
59,84,1.013444
59,87,1.049059
59,90,1.081882
59,93,1.11194
59,96,1.139285
59,99,1.163989
59,102,1.18614
59,105,1.20584
59,108,1.223197
59,111,1.23833
59,114,1.251361
59,117,1.262412
59,120,1.27161
59,135,1.293999
59,150,1.286978
59,165,1.261356
59,180,1.224497
59,195,1.180926
59,210,1.133259
59,225,1.083204
59,240,1.032367
59,255,0.9824334
59,270,0.9347436
59,285,0.8899568
59,300,0.8481684
59,315,0.8092003
59,330,0.7727932
59,345,0.7386847
59,360,0.7066318
59,375,0.6764202
59,390,0.6478611
59,405,0.6207942
59,420,0.5950819
59,435,0.5706078
59,450,0.5472732
59,465,0.524994
59,480,0.5036983
59,495,0.4833239
59,510,0.4638168
59,525,0.4451292
59,540,0.4272186
59,555,0.4100466
59,570,0.3935783
59,585,0.3777817
59,600,0.3626268
59,615,0.3480861
59,630,0.3341333
59,645,0.3207439
59,660,0.3078946
59,675,0.2955632
59,690,0.2837285
59,705,0.2723704
59,720,0.2614697
59,735,0.2510079
59,750,0.2409674
59,765,0.2313312
59,780,0.2220831
59,795,0.2132075
59,810,0.2046894
59,825,0.1965145
59,840,0.188669
59,855,0.1811397
59,870,0.1739139
59,885,0.1669793
59,900,0.1603242
59,915,0.1539375
59,930,0.1478082
59,945,0.1419261
59,960,0.1362811
59,975,0.1308638
59,990,0.1256648
59,1005,0.1206754
59,1020,0.1158871
59,1035,0.1112919
59,1050,0.1068818
59,1065,0.1026495
59,1080,0.09858762
59,1095,0.09468941
59,1110,0.0909482
59,1125,0.08735764
59,1140,0.08391161
59,1155,0.08060427
59,1170,0.07743
59,1185,0.0743834
59,1200,0.0714593
59,1215,0.06865273
59,1230,0.06595894
59,1245,0.06337334
59,1260,0.06089155
59,1275,0.05850936
59,1290,0.05622273
59,1305,0.05402779
59,1320,0.05192081
59,1335,0.04989824
59,1350,0.04795664
59,1365,0.04609273
59,1380,0.04430337
59,1395,0.04258552
59,1410,0.0409363
59,1425,0.03935292
59,1440,0.0378327
59,1455,0.0363731
59,1470,0.03497165
59,1485,0.033626
59,1500,0.03233389
59,1515,0.03109316
59,1530,0.02990172
59,1545,0.02875758
59,1560,0.02765882
59,1575,0.02660361
59,1590,0.0255902
59,1605,0.02461688
59,1620,0.02368205
59,1635,0.02278414
59,1650,0.02192167
59,1665,0.02109321
59,1680,0.02029738
59,1695,0.01953287
59,1710,0.01879842
59,1725,0.01809281
59,1740,0.0174149
59,1755,0.01676355
59,1770,0.01613771
59,1785,0.01553634
59,1800,0.01495847
59,1815,0.01440316
59,1830,0.01386949
59,1845,0.0133566
59,1860,0.01286365
59,1875,0.01238986
59,1890,0.01193445
59,1905,0.01149668
59,1920,0.01107586
60,0,0
60,3,2.59234E-06
60,6,0.0001092684
60,9,0.0007513483
60,12,0.002734134
60,15,0.00716975
60,18,0.01536801
60,21,0.02869545
60,24,0.04839594
60,27,0.07538732
60,30,0.1100787
60,33,0.1522624
60,36,0.2011215
60,39,0.2553593
60,42,0.3134127
60,45,0.3736807
60,48,0.4347054
60,51,0.4952639
60,54,0.554388
60,57,0.6113575
60,60,0.6656489
60,63,0.7168873
60,66,0.7648345
60,69,0.8093356
60,72,0.8503082
60,75,0.8877486
60,78,0.9216808
60,81,0.9521784
60,84,0.9793593
60,87,1.003347
60,90,1.024299
60,93,1.042387
60,96,1.057786
60,99,1.070687
60,102,1.081276
60,105,1.089741
60,108,1.096269
60,111,1.101039
60,114,1.104225
60,117,1.105993
60,120,1.106499
60,135,1.094906
60,150,1.069642
60,165,1.039732
60,180,1.009836
60,195,0.9815721
60,210,0.9542483
60,225,0.9241027
60,240,0.8779368
60,255,0.7839909
60,270,0.6956822
60,285,0.6432073
60,300,0.6029732
60,315,0.5680781
60,330,0.5366632
60,345,0.5079145
60,360,0.481351
60,375,0.4566463
60,390,0.4335633
60,405,0.4119222
60,420,0.3915814
60,435,0.3724265
60,450,0.3543623
60,465,0.3373081
60,480,0.3211939
60,495,0.3059578
60,510,0.2915446
60,525,0.2779042
60,540,0.264991
60,555,0.2527629
60,570,0.2411808
60,585,0.2302084
60,600,0.2198119
60,615,0.2099594
60,630,0.2006211
60,645,0.191769
60,660,0.1833765
60,675,0.1754188
60,690,0.1678723
60,705,0.1607148
60,720,0.1539252
60,735,0.1474838
60,750,0.1413717
60,765,0.1355711
60,780,0.1300653
60,795,0.1248384
60,810,0.1198753
60,825,0.1151618
60,840,0.1106844
60,855,0.1064304
60,870,0.1023878
60,885,0.09854516
60,900,0.09489166
60,915,0.0914171
60,930,0.08811185
60,945,0.08496675
60,960,0.08197318
60,975,0.07912295
60,990,0.07640836
60,1005,0.07382207
60,1020,0.07135718
60,1035,0.06900716
60,1050,0.06676582
60,1065,0.06462733
60,1080,0.06258615
60,1095,0.06063708
60,1110,0.05877517
60,1125,0.05699576
60,1140,0.05529444
60,1155,0.05366705
60,1170,0.05210964
60,1185,0.05061851
60,1200,0.04919014
60,1215,0.04782121
60,1230,0.04650857
60,1245,0.04524928
60,1260,0.04404053
60,1275,0.04287967
60,1290,0.04176423
60,1305,0.04069183
60,1320,0.03966026
60,1335,0.03866741
60,1350,0.0377113
60,1365,0.03679005
60,1380,0.0359019
60,1395,0.03504518
60,1410,0.03421831
60,1425,0.03341981
60,1440,0.03264827
60,1455,0.03190237
60,1470,0.03118085
60,1485,0.03048254
60,1500,0.02980632
60,1515,0.02915114
60,1530,0.02851601
60,1545,0.02789999
60,1560,0.02730219
60,1575,0.02672179
60,1590,0.02615799
60,1605,0.02561005
60,1620,0.02507727
60,1635,0.02455899
60,1650,0.02405457
60,1665,0.02356344
60,1680,0.02308502
60,1695,0.0226188
60,1710,0.02216428
60,1725,0.02172098
60,1740,0.02128847
60,1755,0.02086631
60,1770,0.02045413
60,1785,0.02005153
60,1800,0.01965817
60,1815,0.0192737
60,1830,0.01889782
