"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Gabapentin|Plasma (Peripheral Venous Blood) [µmol/l]"
1,2790,1.164249
1,2805,1.147418
1,2820,1.130838
1,2835,1.114505
1,2850,1.098415
1,2865,1.082564
1,2880,1.066948
1,2895,1.051563
1,2910,1.036405
1,2925,1.021472
1,2940,1.006759
1,2955,0.9922636
1,2970,0.9779813
1,2985,0.9639091
1,3000,0.9500439
1,3015,0.9363824
1,3030,0.9229212
1,3045,0.9096573
1,3060,0.8965877
1,3075,0.8837093
1,3090,0.8710192
1,3105,0.8585144
1,3120,0.8461921
1,3135,0.8340494
1,3150,0.8220836
1,3165,0.810292
1,3180,0.7986719
1,3195,0.7872207
1,3210,0.7759358
1,3225,0.7648146
1,3240,0.7538547
1,3255,0.7430536
1,3270,0.732409
1,3285,0.7219183
1,3300,0.7115795
1,3315,0.70139
1,3330,0.6913478
1,3345,0.6814505
1,3360,0.671696
1,3375,0.6620821
1,3390,0.6526068
1,3405,0.643268
1,3420,0.6340637
1,3435,0.6249918
1,3450,0.6160504
1,3465,0.6072375
1,3480,0.5985512
1,3495,0.5899897
1,3510,0.5815512
1,3525,0.5732337
1,3540,0.5650356
1,3555,0.556955
1,3570,0.5489902
1,3585,0.5411397
1,3600,0.5334015
1,3615,0.5257742
1,3630,0.518256
1,3645,0.5108455
1,3660,0.503541
1,3675,0.4963409
1,3690,0.4892439
1,3705,0.4822482
1,3720,0.4753526
1,3735,0.4685555
1,3750,0.4618556
1,3765,0.4552513
1,3780,0.4487413
1,3795,0.4423243
1,3810,0.4359989
1,3825,0.4297637
1,3840,0.4236176
1,3855,0.4175591
1,3870,0.4115871
1,3885,0.4057003
1,3900,0.3998975
1,3915,0.3941774
1,3930,0.3885389
1,3945,0.3829808
1,3960,0.377502
1,3975,0.3721012
1,3990,0.3667775
1,4005,0.3615296
1,4020,0.3563566
1,4035,0.3512573
1,4050,0.3462307
1,4065,0.3412758
1,4080,0.3363915
1,4095,0.3315768
1,4110,0.3268307
1,4125,0.3221523
1,4140,0.3175406
1,4155,0.3129946
1,4170,0.3085134
1,4185,0.3040961
1,4200,0.2997417
1,4215,0.2954495
1,4230,0.2912184
1,4245,0.2870477
1,4260,0.2829364
1,4275,0.2788838
1,4290,0.2748889
1,4305,0.270951
1,4320,0.2670693
1,4335,0.263243
1,4350,0.2594712
1,4365,0.2557533
1,4380,0.2520884
1,4395,0.2484758
1,4410,0.2449148
1,4425,0.2414045
1,4440,0.2379444
1,4455,0.2345337
1,4470,0.2311717
1,4485,0.2278577
1,4500,0.224591
1,4515,0.221371
1,4530,0.218197
1,4545,0.2150683
1,4560,0.2119843
1,4575,0.2089444
1,4590,0.205948
1,4605,0.2029943
1,4620,0.200083
1,4635,0.1972132
1,4650,0.1943845
1,4665,0.1915962
1,4680,0.1888478
1,4695,0.1861388
1,4710,0.1834685
1,4725,0.1808364
1,4740,0.1782421
1,4755,0.1756848
1,4770,0.1731642
1,4785,0.1706797
1,4800,0.1682307
1,4815,0.1658169
1,4830,0.1634376
1,4845,0.1610924
1,4860,0.1587809
1,4875,0.1565024
1,4890,0.1542567
1,4905,0.1520431
1,4920,0.1498613
1,4935,0.1477108
1,4950,0.1455912
1,4965,0.143502
1,4980,0.1414427
1,4995,0.139413
1,5010,0.1374125
1,5025,0.1354407
1,5040,0.1334972
1,5055,0.1315816
